,0,1
1155,Šabić,41
1156,Kragujevcu,41
1157,počelo,41
1158,Loznica,41
1159,laž,41
1160,padavina,41
1161,rizik,41
1162,optuživati,41
1163,sramota,41
1164,vidljivost,41
1165,pretres,41
1166,jug,41
1167,deonica,41
1168,leks,41
1169,odlazak,41
1170,položaj,41
1171,civilan,41
1172,napadnuti,41
1173,nuditi,41
1174,pregled,41
1175,železničkoj,41
1176,zvaničnik,41
1177,nastavnica,41
1178,terorizam,41
1179,štrajkivati,41
1180,stradal,40
1181,apel,40
1182,dvorište,40
1183,uhapšeti,40
1184,smanjiti,40
1185,normalan,40
1186,decembra,40
1187,oboriti,40
1188,zona,40
1189,stupiti,40
1190,tužiteljk,40
1191,inženjer,40
1192,Ukrajina,40
1193,širiti,40
1194,predsedništvo,40
1195,udžbenik,40
1196,strateški,40
1197,povratak,40
1198,oprema,40
1199,žandarmerija,40
1200,prosvet,40
1201,pravosudni,39
1202,kupiti,39
1203,kupovina,39
1204,energija,39
1205,demonstracija,39
1206,tramvaj,39
1207,odložen,39
1208,hrana,39
1209,rušiti,39
1210,prebijanje,39
1211,poredak,39
1212,kilometar,39
1213,peti,39
1214,hladan,39
1215,Kurti,39
1216,alkohol,39
1217,gradske,39
1218,uključiti,39
1219,N1 Nov,39
1220,tunel,39
1221,zaštititi,39
1222,posetiti,39
1223,tenzija,39
1224,plafon,39
1225,navijač,39
1226,dužnost,39
1227,obaveza,39
1228,Rektorat,39
1229,Strazbur,39
1230,ponašati,38
1231,CLS,38
1232,ZLF,38
1233,dve,38
1234,Manojlović,38
1235,Picula,38
1236,izlaziti,38
1237,medija,38
1238,osuđivati,38
1239,smeštaj,38
1240,poznat,38
1241,stotina,38
1242,uvek,38
1243,nada,38
1244,Batrovci,38
1245,probuditi,38
1246,zapaliti,38
1247,BU,38
1248,sunčano,38
1249,podneoi,38
1250,ukloniti,38
1251,skinuti,38
1252,specijalis,38
1253,dug,38
1254,upad,38
1255,odmazda,37
1256,uspeti,37
1257,povlačenje,37
1258,zdravstven,37
1259,donacija,37
1260,stanovnik,37
1261,zaboraviti,37
1262,viši,37
1263,odrediti,37
1264,garaža,37
1265,sezona,37
1266,kriti,37
1267,nasilnik,37
1268,humanitaran,37
1269,generalštabu,37
1270,slati,37
1271,snimatelj,37
1272,rezolucija,37
1273,Ninić,37
1274,12,36
1275,novosadska,36
1276,stabilan,36
1277,novinarstvo,36
1278,avion,36
1279,zakazati,36
1280,železnica,36
1281,prst,36
1282,kršiti,36
1283,procesuirati,36
1284,spasiti,36
1285,tabloid,36
1286,šansa,36
1287,VMA,36
1288,dijaspora,36
1289,proizvodnja,36
1290,legitimitet,36
1291,smeniti,36
1292,novinarski,36
1293,km,36
1294,pretnje,36
1295,reporter,36
1296,učenici,36
1297,pokrajinski,36
1298,ogroman,36
1299,brz,36
1300,tužiti,36
1301,skupov,36
1302,Ribnikar,36
1303,snimati,36
1304,osveta,35
1305,dron,35
1306,detet,35
1307,penzija,35
1308,NIS,35
1309,poverenik,35
1310,napadati,35
1311,porast,35
1312,saznavati,35
1313,igrati,35
1314,učešće,35
